id,hashtags
1,"#Elections,#Democracy,#Vote,#Policy"
2,"#Parliament,#Government"
3,"#ForeignPolicy,#Debate,#UN,#Alliance"
4,"#Economy,#Election2025,#Constitution,#Party,#Polls"
5,"#Campaign,#Manifesto,#Democracy"
6,"#Senate,#Cabinet"
7,"#Policy,#Speech,#Vote,#Polls"
8,"#PoliticalScandal,#Transparency"
9,"#Politics,#Budget,#Tax,#Reform"
10,"#PrimeMinister,#Opposition,#Coalition,#Government,#Elections"
11,"#Democracy,#Policy"
12,"#Parliament,#Bill,#Cabinet"
13,"#UN,#Sanction"
14,"#Debate,#Speech"
15,"#Democracy,#Government,#Opposition,#Media,#Parliament"
16,"#Reform,#Tax,#Budget"
17,"#ForeignPolicy,#Debate"
18,"#Election2025,#Economy,#Polls,#Party,#Policy"
19,"#Government,#Ministry,#Cabinet,#SupremeCourt"
20,"#PoliticalScandal,#Elections,#Reform"
21,"#PrimeMinister,#Bill"
22,"#Policy,#Manifesto,#Democracy"
23,"#Polls,#Transparency"
24,"#Policy,#Speech,#Parliament,#Government,#Opposition"
25,"#Campaign,#Polls,#Party"
26,"#Elections,#PoliticalScandal,#Protest,#SupremeCourt,#Senate"
27,"#Budget,#Manifesto,#Reform,#Economy,#Government"
28,"#Debate,#Party,#Constitution,#Media"
29,"#ForeignPolicy,#Sanction,#UN,#Alliance,#Economy"
30,"#PrimeMinister,#Opposition,#Democracy,#Parliament"
31,"#Elections,#SupremeCourt,#Policy,#Parliament"
32,"#Debate,#Speech,#Budget,#Manifesto"
33,"#Bill,#Policy,#PrimeMinister,#Democracy,#Party"
34,"#Opposition,#Cabinet"
35,"#Policy,#Parliament,#Speech,#Manifesto,#Campaign"
36,"#SupremeCourt,#Constitution"
37,"#UN,#Media"
38,"#Speech,#ForeignPolicy,#Manifesto,#Sanction,#Campaign"
39,"#Party,#Polls,#Economy,#Alliance,#Opposition"
40,"#Parliament,#Elections"
41,"#Government,#Cabinet,#Media"
42,"#PrimeMinister,#ForeignPolicy"
43,"#Democracy,#Government"
44,"#Opposition,#Policy,#Election2025,#Debate"
45,"#Manifesto,#Polls,#Campaign"
46,"#Cabinet,#Budget,#Party,#Speech"
47,"#Tax,#Reform,#Economy,#Sanction"
48,"#Party,#PoliticalScandal,#Debate,#Alliance"
49,"#Bill,#UN,#Elections"
50,"#PrimeMinister,#Economy,#Vote,#Policy,#Manifesto"
51,"#Parliament,#Media,#Alliance"
52,"#Protest,#Election2025,#Speech,#Tax"
53,"#Policy,#Party,#Reform,#PoliticalScandal,#Senate"
54,"#Opposition,#Manifesto"
55,"#Government,#Transparency,#Polls,#Speech,#ForeignPolicy"
56,"#Budget,#Sanction,#Economy,#Elections"
57,"#Party,#Democracy,#Bill"
58,"#Protest,#Opposition,#Tax,#Elections"
59,"#Reform,#Policy,#Ministry,#Campaign,#Cabinet"
60,"#Speech,#Policy,#Manifesto"
61,"#Sanction,#ForeignPolicy,#Debate"
62,"#Parliament,#PoliticalScandal"
63,"#Speech,#Budget,#Economy"
64,"#Cabinet,#PrimeMinister,#SupremeCourt"
65,"#Government,#Economy"
66,"#Democracy,#Policy"
67,"#UN,#Election2025"
68,"#Opposition,#Polls,#Bill,#Campaign"
69,"#Manifesto,#Policy,#Reform,#Protest"
70,"#ForeignPolicy,#Alliance,#UN,#Speech"
71,"#Party,#PrimeMinister"
72,"#Elections,#Government,#Transparency"
73,"#SupremeCourt,#Tax"
74,"#Cabinet,#Budget,#Economy,#Manifesto"
75,"#PoliticalScandal,#Polls,#Party"
76,"#Election2025,#Policy,#Reform,#Opposition,#Democracy"
77,"#Party,#Debate,#Speech,#Protest"
78,"#Cabinet,#Government,#Parliament"
79,"#Manifesto,#Constitution,#UN,#Democracy"
80,"#Polls,#Party,#Tax"
81,"#PrimeMinister,#Elections,#Speech"
82,"#PoliticalScandal,#Campaign"
83,"#Policy,#Protest,#Party,#Ministry,#Manifesto"
84,"#Reform,#Speech,#Sanction"
85,"#Opposition,#Budget,#Tax,#Economy"
86,"#Party,#Manifesto,#PoliticalScandal,#Constitution"
87,"#Cabinet,#Elections"
88,"#SupremeCourt,#Government"
89,"#Democracy,#Ministry,#Reform,#Bill"
90,"#Campaign,#Debate,#Speech"
91,"#Polls,#UN,#Protest"
92,"#Parliament,#Manifesto"
93,"#Budget,#Bill,#Economy"
94,"#Government,#PrimeMinister,#SupremeCourt,#Speech"
95,"#Party,#Election2025"
96,"#Constitution,#Transparency,#Policy,#Sanction"
97,"#Manifesto,#Vote"
98,"#PoliticalScandal,#Protest"
99,"#Reform,#Party,#Alliance,#Media"
100,"#Democracy,#Opposition,#ForeignPolicy,#Sanction"
101,"#Elections,#Tax,#Budget,#Speech"
102,"#Parliament,#Government,#UN,#Debate"
103,"#Party,#Manifesto,#Vote,#Opposition"
104,"#PrimeMinister,#Speech,#Economy"
105,"#Protest,#Constitution,#Alliance,#Transparency"
106,"#Senate,#Bill,#Media"
107,"#Policy,#Election2025,#Government,#Manifesto"
108,"#PoliticalScandal,#Budget,#Tax,#Reform,#Party"
109,"#Alliance,#Campaign,#Opposition"
110,"#UN,#Sanction,#SupremeCourt,#Democracy"
111,"#Policy,#Manifesto,#Debate"
112,"#Election2025,#Polls,#Cabinet"
113,"#Speech,#Budget,#Party,#Media"
114,"#Government,#Economy,#Reform"
115,"#Cabinet,#PrimeMinister,#Parliament,#Democracy"
116,"#Party,#Bill,#Transparency"
117,"#Elections,#Opposition,#Campaign"
118,"#Debate,#Protest,#Constitution"
119,"#Reform,#Tax,#Party,#Policy,#Manifesto"
120,"#Speech,#SupremeCourt,#Cabinet"
121,"#election2025,#vote,#democracy,#campaign"
122,"#budget2025,#government,#policy"
123,"#congress,#bjp,#manifesto,#india"
124,"#modi,#parliament,#speech,#indianpolitics"
125,"#freedom,#media,#press"
126,"#supremecourt,#scandal,#transparency"
127,"#debate,#reform,#policy"
128,"#womeninpolitics,#parliament,#democracy"
129,"#narendramodi,#election,#trending"
130,"#protest,#change,#citizens"
131,"#coalition,#alliances,#bjp,#modi"
132,"#government,#parliament,#cabinet"
133,"#usa,#indianpolitics,#trending"
134,"#foreignpolicy,#un,#manifesto"
135,"#democrat,#republican,#trump,#election2025"
136,"#congress,#rahulgandhi,#budget2025"
137,"#liberty,#freedom,#change"
138,"#parliamentary,#policy,#reform"
139,"#media,#news,#press,#government"
140,"#campaign,#vote,#election"
