ID,Hashtags
1,"#environment1,#sustainability1,#climateaction1,#greenenergy1,#renewable1"
2,"#recycle1,#zerowaste1,#circulareconomy1,#plasticfree1,#ecofriendly1"
3,"#cleanenergy1,#carbonfootprint1,#solarpower1,#windenergy1,#cleantech1"
4,"#nature1,#wildlife1,#conservation1,#biodiversity1,#earth1"
5,"#climatechange1,#globalwarming1,#actonclimate1,#savetheplanet1,#ecoactivism1"
6,"#greenliving1,#sustainableliving1,#ecolifestyle1,#organic1,#fairtrade1"
7,"#waterconservation1,#watersaving1,#cleandrinkingwater1,#hydrosustainability1,#smartwater1"
8,"#urbanfarming1,#regenerativeagriculture1,#permaculture1,#soilhealth1,#communitygarden1"
9,"#electricvehicles1,#evcharging1,#cleantransport1,#decarbonize1,#gogreen1"
10,"#plantbased1,#vegan1,#sustainablefood1,#foodwaste1,#localfood1"
11,"#ecotourism1,#slowtravel1,#responsibletourism1,#naturelover1,#environmentaleducation1"
12,"#sustainablefashion1,#ethicalfashion1,#slowfashion1,#zerowastefashion1,#fairfashion1"
13,"#climatejustice1,#socialjustice1,#environmentalequity1,#actnow1,#climatepolicy1"
14,"#greenbuilding1,#leedcertified1,#energyefficiency1,#lowimpactdesign1,#sustainabledesign1"
15,"#sustainabledevelopmentgoals1,#sdgs1,#globalgoals1,#2030agenda1,#unitednations1"
16,"#plasticfreeoceans1,#cleanbeaches1,#marineconservation1,#oceanprotection1,#wildlife1"
17,"#savethetrees1,#forestry1,#biodiversity1,#deforestation1,#forestconservation1"
18,"#renewableenergy1,#windturbines1,#solarenergy1,#cleantech1,#greenfuture1"
19,"#ecofriendlyproducts1,#greenliving1,#reducewaste1,#ecoliving1,#sustainabilitymatters1"
20,"#carbonemissions1,#carbonneutral1,#climatestrike1,#globalwarming1,#greenplanet1"
21,"#foodsecurity1,#sustainableagriculture1,#organicfarming1,#farmtotable1,#foodsovereignty1"
22,"#waterpollution1,#cleanwater1,#watersustainability1,#saveourwater1,#freshwater1"
