id,hashtags
1,"#Travel,#Vacation,#Explore,#Beach"
2,"#Tourism,#Europe,#Culture,#France"
3,"#Adventure,#Nature,#Safari,#SouthAfrica"
4,"#Sightseeing,#Landmarks,#USA,#RoadTrip"
5,"#Asia,#Thailand,#Temples,#IslandHopping"
6,"#Mountains,#Hiking,#Wildlife,#Nepal"
7,"#Museums,#Art,#History,#London"
8,"#Resort,#Relax,#Luxury,#Maldives"
9,"#Discover,#Photography,#Wonders,#Egypt"
10,"#Foodie,#Wine,#Italy,#Tour"
11,"#CityBreak,#Metro,#Shopping,#Tokyo"
12,"#Caribbean,#Island,#Snorkeling,#Cruise"
13,"#Europe,#Spain,#Festivals,#CultureTrip"
14,"#Nature,#Camping,#Canada,#NationalParks"
15,"#RoadTrip,#Desert,#Dubai,#DubaiMall"
16,"#UnescoWorldHeritage,#Travel,#Landmarks,#India"
17,"#Safari,#Kenya,#Wildlife,#Adventure"
18,"#Culture,#Temples,#Indonesia,#Bali"
19,"#Mountains,#Lake,#Switzerland,#Outdoors"
20,"#Beach,#Brazil,#RioDeJaneiro,#Carnival"
21,"#Australia,#Sydney,#OperaHouse,#Tour"
22,"#Ski,#Resort,#France,#Alps"
23,"#StreetFood,#Bangkok,#Thailand,#Asia"
24,"#Safari,#Botswana,#Africa,#Wildlife"
25,"#Luxury,#Hotel,#Spa,#Resort"
26,"#Europe,#DanubeRiver,#Cruise,#Austria"
27,"#CityWalks,#Architecture,#Berlin,#Germany"
28,"#Culture,#Museum,#Spain,#Madrid"
29,"#Adventure,#Rainforest,#Peru,#Amazon"
30,"#Beach,#Greece,#Santorini,#Island"
31,"#RoadTrip,#USA,#Route66,#NationalParks"
32,"#Camping,#Norway,#Fjord,#NorthernLights"
33,"#Dubai,#BurjKhalifa,#DesertSafari,#ArabianNights"
34,"#Mexico,#Ruins,#History,#Cancun"
35,"#Photography,#CityView,#Skyline,#Singapore"
36,"#Island,#Maldives,#Luxury,#Ocean"
37,"#Ecotourism,#Rainforest,#CostaRica,#Wildlife"
38,"#Wine,#France,#Vineyard,#Tasting"
39,"#Heritage,#Tourism,#India,#GoldenTriangle"
40,"#NationalPark,#Zion,#Utah,#USA"
41,"#Hiking,#Nature,#Rockies,#Canada"
42,"#NewYork,#StatueOfLiberty,#Broadway,#CityLights"
43,"#Cruise,#TurquoiseWaters,#Caribbean,#Relax"
44,"#Art,#Louvre,#Paris,#Museums"
45,"#Africa,#KrugerPark,#Safari,#Wildlife"
46,"#Thailand,#ChiangMai,#Culture,#Temples"
47,"#MountFuji,#Japan,#Hiking,#Nature"
48,"#IslandEscape,#Seychelles,#Resort,#Beach"
49,"#Italy,#Venice,#Gondola,#CanalTour"
50,"#Turkey,#Cappadocia,#HotAirBalloon,#Adventure"
51,"#Australia,#GreatBarrierReef,#Snorkeling,#Nature"
52,"#Europe,#Prague,#OldTown,#History"
53,"#Safari,#Tanzania,#Zanzibar,#Wildlife"
54,"#CityTrip,#Amsterdam,#Bikes,#Canals"
55,"#Foodie,#StreetMarket,#Vietnam,#Asia"
56,"#Beach,#Ibiza,#Spain,#Island"
57,"#Luxury,#Dubai,#PalmJumeirah,#Hotel"
58,"#Landmarks,#Egypt,#Pyramids,#Wonder"
59,"#History,#Rome,#Colosseum,#Italy"
60,"#Nature,#LakeDistrict,#England,#Hiking"
61,"#Adventure,#Glacier,#Iceland,#RoadTrip"
62,"#Beach,#Australia,#GoldCoast,#Surf"
63,"#MachuPicchu,#Peru,#IncaTrail,#History"
64,"#Mediterranean,#Cruise,#Islands,#Greece"
65,"#Culture,#Morocco,#Markets,#Spices"
66,"#Hiking,#Dolomites,#Italy,#Alps"
67,"#Tourism,#Switzerland,#Zurich,#TrainTrip"
68,"#Australia,#Outback,#Uluru,#Adventure"
69,"#Photography,#Snow,#Finland,#Lapland"
70,"#Seafood,#Lisbon,#Portugal,#Europe"
71,"#Island,#BoraBora,#Tahiti,#Polynesia"
72,"#CityBreak,#Stockholm,#Sweden,#OldTown"
73,"#History,#Scotland,#EdinburghCastle"
74,"#Nature,#SriLanka,#TeaPlantations"
75,"#Festivals,#India,#Diwali,#Culture"
76,"#Africa,#VictoriaFalls,#Zambia,#Adventure"
77,"#Heritage,#Petra,#Jordan,#Desert"
78,"#Relax,#Bali,#Yoga,#Resort"
79,"#Safari,#Uganda,#GorillaTrekking,#Wildlife"
80,"#Beach,#Miami,#Florida,#USA"
81,"#Tourism,#HongKong,#CityLights,#Skyline"
82,"#Ancient,#China,#GreatWall,#History"
83,"#Cruise,#BalticSea,#NordicTrip"
84,"#Australia,#Tasmania,#Nature,#Hiking"
85,"#Europe,#Switzerland,#Matterhorn,#Alpine"
86,"#Greece,#Mykonos,#Islands,#Nightlife"
87,"#Beach,#Cuba,#Havana,#Colors"
88,"#Adventure,#Yosemite,#USA,#NationalParks"
89,"#Culture,#Istanbul,#Mosque,#Turkey"
90,"#Nature,#Mountains,#Scenery,#Nepal"
91,"#Festivals,#Rio,#Brazil,#Carnival"
92,"#Photography,#Safari,#Tanzania,#Nature"
93,"#CityTrip,#Vienna,#Austria,#Culture"
94,"#Tourism,#Colombia,#Coffee,#Mountains"
95,"#Snorkeling,#Maldives,#Island,#India"
96,"#Adventure,#Caves,#Slovenia,#Europe"
97,"#Food,#Bangkok,#Thailand,#StreetMarket"
98,"#History,#England,#TowerOfLondon,#Tours"
99,"#Hiking,#Pyrenees,#Spain,#Camping"
100,"#Luxury,#Resort,#Mauritius,#Relax"
101,"#Travel,#Seychelles,#Beach,#Island"
102,"#Photography,#Kyoto,#Japan,#Temples"
103,"#RoadTrip,#Scotland,#Nature,#Highlands"
104,"#Camping,#Canada,#GlacierNationalPark,#Wildlife"
105,"#Safari,#Namibia,#SandDunes,#Africa"
106,"#City,#Seoul,#SouthKorea,#Palace"
107,"#Culture,#MexicoCity,#Aztec,#History"
108,"#Sightseeing,#Budapest,#Hungary,#Europe"
109,"#Foodie,#Venice,#Italy,#Pasta"
110,"#Beach,#Philippines,#Boracay,#Island"
111,"#Adventure,#Chile,#Atacama,#Desert"
112,"#Wine,#CapeTown,#SouthAfrica,#Vineyard"
113,"#Tourism,#Iceland,#NorthernLights,#HotSprings"
114,"#Luxury,#Dubai,#Atlantis,#Resort"
115,"#Landmarks,#Paris,#EiffelTower,#CityView"
116,"#History,#Turkey,#Ephesus,#Ruins"
117,"#Nature,#Greenland,#Icebergs,#Photography"
118,"#Festivals,#Berlin,#Germany,#Music"
119,"#Adventure,#Nepal,#Everest,#Mountains"
120,"#Culture,#Peru,#Cusco,#Inca"
121,"#Island,#Hawaii,#Maui,#Surfing"
122,"#CityBreak,#Madrid,#Spain,#Sightseeing"
123,"#Heritage,#India,#Agra,#TajMahal"
124,"#Safari,#Botswana,#Africa,#Wildlife"
125,"#Beach,#Australia,#LuckyBay,#Nature"
126,"#Luxury,#Italy,#AmalfiCoast,#Hotel"
127,"#Adventure,#Chile,#Potrerillos,#RoadTrip"
128,"#Europe,#Ireland,#Dublin,#Castles"
129,"#Photography,#Dubai,#PalmIslands,#Skyline"
130,"#Tourism,#France,#Normandy,#Beaches"
